token,count,suggested_usage,source_keywords,sample_titles
판매합니다,1411,token_exclude_list 후보,"갤럭시 s25, 갤럭시 s26, 갤럭시 s25 플러스, 아이폰 17, 아이패드, 애플워치, 아이폰 16, 에어팟 프로",갤럭시S25울트라 슈피겐 나노팝맥핏 맥세이프케이스 판매합니다 | 갤럭시S25울트라 슈피겐 나노팝맥핏 맥세이프 케이스 판매합니다 | 갤럭시s25울트라 512g 실버 판매합니다
스위치,1410,검토 필요,"닌텐도 스위치, 플스5, 아이패드",스위치 CITY BOYS 아이패드 파우치 크림 | 닌텐도 스위치 스포츠 풀박스 | 닌텐도 스위치 그레이 조이콘 호환 조이콘
자급제,1352,검토 필요,"갤럭시 s25, 갤럭시 s26, 아이폰 17, 갤럭시 s26 울트라, 갤럭시 s25 울트라, 아이폰 17 프로, 갤럭시 s25 플러스, 아이폰 16","갤럭시 S25 울트라 512 자급제 제트블랙 삼케플X | 2025.05.19최초통화, 갤럭시 S25 ultra 울트라512 자급제 | 삼성갤럭시 S25울트라 256g 자급제 미사용품"
256기가,1254,product_token_dictionary spec 후보,"갤럭시 s25, 갤럭시 s26, 갤럭시 s25 플러스, 아이폰 16, 갤럭시 s25 울트라, 갤럭시 s26 울트라, 아이폰 17, 아이폰 15",갤럭시S25울트라 256기가 블랙 (S급) / 0506 | 갤럭시S25울트라 256기가 실버블루 (S급) / 0429 | 갤럭시S25울트라 256기가 블랙 (무잔상) / 0421
울트라,1247,product_token_dictionary detail 후보,"갤럭시 s25, 갤럭시 s26, 갤럭시 s26 울트라, 갤럭시 s25 울트라, 애플워치, 로보락, 갤럭시워치, 아이폰 17 프로",갤럭시 S25 울트라 케이스 | 케이스티파이 짱구 갤럭시 S25 울트라 케이스 | 갤럭시 S25 울트라 512 자급제 제트블랙 삼케플X
256g,1235,product_token_dictionary spec 후보,"갤럭시 s25, 갤럭시 s26, 갤럭시 s25 플러스, 갤럭시 s25 울트라, 갤럭시 s26 울트라, 아이폰 16, 아이폰 17, 아이폰 15",삼성갤럭시 S25울트라 256g 자급제 미사용품 | >한정판매< 갤럭시 S25 울트라 256G 티타늄 실버블루(직거래 할인) | >한정판매< 갤럭시 S25 울트라 256G 티타늄 블랙 (직거래 할인)
에어팟,1186,검토 필요,"에어팟 프로, 맥북, 애플워치, 아이패드, 아이폰 16, 아이폰 17, 아이폰 15, 갤럭시워치","칸예 에어팟 프로2 케이스 새상품 (선착 1명아이폰 16프로 케이스 | [17개] 애플박스 일괄 (아이폰17,아이폰,에어팟,맥북,아이패드) | [일괄] 레진아트 레진공예 재료 폰케이스 아이폰 에어팟 갤럭시 14 15"
새상품,1128,검토 필요,"아이폰 17, 아이폰 16, 갤럭시 s25, 갤럭시 s26, 아이폰 17 프로, 에어팟 프로, 아이폰 15, 다이슨",갤럭시S25울트라/삼성전자/새상품/풀박스/미개봉/정품 | [새상품/완납폰]갤럭시S25/S25플러스/S25울트라 쓰던 유심 그대로 | 갤럭시S25울트라/삼성전자/정품/미개봉/풀박스/새상품
256,1086,검토 필요,"갤럭시 s25, 갤럭시 s26, 갤럭시 s25 플러스, 아이폰 17, 아이폰 17 프로, 갤럭시 s25 울트라, 아이폰 16, 아이패드",S급 갤럭시S25울트라 256 블랙 중고폰 공기계 s25ultra | 서울 갤럭시 S25 울트라 (S938) 256 실버 A급 | SS급 갤럭시S25울트라 256 블루 중고폰 공기계 s25ultra
무잔상,1050,검토 필요,"갤럭시 s25, 갤럭시 s26, 갤럭시 s25 플러스, 갤럭시 s25 울트라, 갤럭시 s26 울트라, 아이폰 16, 아이폰 15, 아이폰 17",[00866] 당일발송 갤럭시S25울트라 S938 512GB 무잔상 블랙
실버,1016,검토 필요,"갤럭시 s25, 아이패드, 맥북, 애플워치, 아이폰 16, 아이폰 17, 아이폰 17 프로, 갤럭시워치",갤럭시s25울트라 512g 실버 판매합니다 | 서울 갤럭시 S25 울트라 (S938) 256 실버 A급 | 갤럭시 S25 울트라 실버 미러 케이스
s급,985,검토 필요,"갤럭시 s25, 갤럭시 s26, 갤럭시 s25 울트라, 아이폰 16, 아이패드, 갤럭시 s25 플러스, 에어팟 프로, 갤럭시 s26 울트라",갤럭시S25울트라 256기가 블랙 (S급) / 0506 | 갤럭시S25울트라 256기가 실버블루 (S급) / 0429 | S급 갤럭시S25울트라 256 블랙 중고폰 공기계 s25ultra
팝니다,978,검토 필요,"갤럭시 s25, 갤럭시 s26, 닌텐도 스위치, 아이폰 17, 아이패드, 애플워치, 플스5, 아이폰 16",갤럭시s25울트라(s938) 팝니다 | 갤럭시 S25 울트라 케이스 팝니다 | 갤럭시s25울트라 엘라고 실리콘 맥세이프 케이스 팝니다
애플워치,967,검토 필요,"애플워치, 아이패드, 에어팟 프로, 맥북, 갤럭시워치, 아이폰 16, 아이폰 17 프로, 아이폰 17","아이폰 16플러스 화이트,애플워치 se ->17 프맥 , 17프로 | 전국출장매입 갤럭시탭 아이패드 애플워치 아이패드 에어팟24시간 전국"
정품,943,검토 필요,"애플워치, 아이폰 16, 아이폰 17, 다이슨, 아이패드, 아이폰 17 프로, 아이폰 15, 에어팟 프로",갤럭시S25울트라/삼성전자/새상품/풀박스/미개봉/정품 | 갤럭시S25엣지/S25/S25플러스/S25울트라 삼성전자 정품 | 갤럭시S25울트라/삼성전자/정품/미개봉/풀박스/새상품
판매,922,token_exclude_list 후보,"맥북, 갤럭시 s25, 아이폰 16, 갤럭시 s26, 닌텐도 스위치, 아이패드, 아이폰 17, 애플워치",갤럭시S25울트라 호환 맨유 골드 앰블럼 굿즈 케이스 판매 | 갤럭시 s25 울트라 512gb 교신및 판매 | 갤럭시s25 울트라 512gb 중고 판매
화이트,915,검토 필요,"갤럭시 s25, 갤럭시 s26, 아이폰 16, 아이폰 17, 갤럭시 s26 울트라, 닌텐도 스위치, 갤럭시 s25 울트라, 아이폰 15",(구매) 갤럭시s25 울트라 삼성 정품 스탠딩 그립 케이스 화이트 구매 | SS급 갤럭시S25울트라 512 화이트 중고폰 공기계 s25ultra | 갤럭시S25 울트라 256GB 화이트 실버 자급제
512gb,805,product_token_dictionary spec 후보,"갤럭시 s25, 갤럭시 s25 울트라, 갤럭시 s26, 맥북, 갤럭시 s26 울트라, 갤럭시 s25 플러스, 아이폰 17, 아이패드",[00866] 당일발송 갤럭시S25울트라 S938 512GB 무잔상 블랙 | [00730] 갤럭시S25울트라 512GB 티타늄그레이 외관 새상품급 1
s25,767,product_token_dictionary model 후보,"갤럭시 s25, 갤럭시 s25 울트라, 갤럭시 s26, 갤럭시 s25 플러스, 갤럭시 s26 울트라, 아이폰 16, 아이폰 17, 갤럭시 s26 엣지",갤럭시S25엣지/S25/S25플러스/S25울트라 삼성전자 정품 | 갤럭시 S25 울트라 케이스 | 케이스티파이 짱구 갤럭시 S25 울트라 케이스
17,767,product_token_dictionary model 후보,"아이폰 17, 아이폰 17 프로, 아이폰 17 프로 맥스, 아이폰 16, 아이폰 17e, 아이폰 15, 로보락","아이폰 16,17 프로, 맥스 애플정품 클리어케이스 미개봉 | [미사용/새상품] 아이폰16 재고정리 할인 [13,14,15,17,프로] | [미사용/새상품] 아이폰16프로 재고정리 할인 [13,14,15,17]"
아이폰17,759,검토 필요,"아이폰 17, 아이폰 17 프로, 아이폰 17 프로 맥스, 아이폰 16, 아이폰 17e, 갤럭시 s26, 갤럭시 s25, 갤럭시 s26 울트라",아이폰17 에어 <<갤럭시 s25나 엣지로 교환원합니다 | 아이폰17 16프로 맥스 갤럭시 S26 울트라 폴드7 울트라 자급제사요 | 갤럭시 S26 플립7 아이폰17 프로 데저트 마린 자급제 미개봉사요
케이스티파이,750,검토 필요,"아이폰 16, 아이폰 17, 아이폰 17 프로, 아이폰 15, 아이폰 17 프로 맥스, 갤럭시 s25, 에어팟 프로, 갤럭시 s26",케이스티파이 짱구 갤럭시 S25 울트라 케이스 | 케이스티파이 갤럭시s25울트라 케이스 | 갤럭시 S25 울트라 케이스티파이 파워퍼프걸 케이스
맥북,747,검토 필요,"맥북, 아이패드, 갤럭시 s26 울트라, 갤럭시 s26, 아이폰 17, 아이폰 16, 애플워치, 갤럭시 s25 플러스","[17개] 애플박스 일괄 (아이폰17,아이폰,에어팟,맥북,아이패드) | 2020 맥북 에어 13, 스페이 스 그레이, M1, 256GB, 16G | 삽니다 맥북 프로 에어 맥미니 아이맥 아이패드 갤럭시탭 노트북"
애플,699,product_token_dictionary brand 후보,"아이패드, 에어팟 프로, 맥북, 아이폰 16, 아이폰 17, 애플워치, 아이폰 17 프로, 아이폰 15",[2개] 아이폰16플러스 애플 정품 클리어 케이스 맥세이프 미개봉 | [애플]아이폰16E/256기가 | [애플]아이폰16플러스 전색상 미개봉 13차 재입고
s26,634,product_token_dictionary model 후보,"갤럭시 s26, 갤럭시 s26 울트라, 갤럭시 s25, 아이폰 17, 아이폰 17 프로, 갤럭시 s25 플러스, 아이폰 17 프로 맥스, 아이폰 16","갤럭시 s22, s23 ,S24, S25, S26 울트라 대여해드립니다 | 아이패드매입 아이패드.갤럭시탭.갤럭시폴드.제트플립.s26.s25.s24 | 삼성 갤럭시 S26 S25 S24 폴드6 7 플립5 6 7 정품"
16,625,product_token_dictionary model 후보,"아이폰 16, 맥북, 아이폰 17, 아이폰 17 프로, 아이폰 17 프로 맥스, 갤럭시 s25, 갤럭시 s26, 아이폰 17e","아이폰 16,17 프로, 맥스 애플정품 클리어케이스 미개봉 | 아이폰 16 프로맥스 정품 케이스 (미개봉) | 아이폰 16 기본 화이트 256GB"
갤럭시s25,602,검토 필요,"갤럭시 s25, 갤럭시 s26, 갤럭시 s25 울트라, 갤럭시 s25 플러스, 갤럭시 s26 울트라",[새상품/완납폰]갤럭시S25/S25플러스/S25울트라 쓰던 유심 그대로 | 갤럭시S25/갤럭시S25플러스/갤럭시S25울트라 미개봉 시리즈 | 갤럭시S25/갤럭시S25플러스/갤럭시S25울트라 시리즈
a급,587,token_exclude_list 후보,"갤럭시 s25, 갤럭시 s26, 갤럭시 s25 플러스, 아이폰 16, 갤럭시 s25 울트라, 에어팟 프로, 아이패드, 아이폰 15",서울 갤럭시 S25 울트라 (S938) 256 실버 A급 | 갤럭시 S25울트라 그레이 256기가 A급 팔아요~ | 갤럭시 S25울트라 티타늄 그레이 256기가 A급 팔아요~
새제품,570,검토 필요,"갤럭시 s25, 갤럭시 s26, 아이폰 16, 닌텐도 스위치, 아이폰 17, 갤럭시워치, 갤럭시 s26 울트라, 아이패드",모란카노 임팩트 투명 테디 디자인 갤럭시S25울트라 케이스 새제품 | (새제품) Nillkin 갤럭시 S25 울트라 맥세이프 케이스 | 갤럭시S25울트라 256G 자급제 미개봉 새제품 판매합니다.
풀박스,567,검토 필요,"에어팟 프로, 아이패드, 애플워치, 닌텐도 스위치, 갤럭시 s25, 맥북, 아이폰 17, 갤럭시 s26",갤럭시S25울트라/삼성전자/새상품/풀박스/미개봉/정품 | 갤럭시S25울트라/삼성전자/정품/미개봉/풀박스/새상품 | 갤럭시 S25울트라 풀박스 특S급
아이폰17프로,556,검토 필요,"아이폰 17 프로, 아이폰 17, 아이폰 17 프로 맥스, 아이폰 16, 아이폰 17e, 갤럭시 s26 울트라, 갤럭시 s26, 갤럭시 s25",갤럭시S26 울트라 플립7 폴드7 아이폰17프로 맥스 미개봉 삽니다 | 아이폰17프로 맥스 마린 갤럭시S26 울트라 플립7 미개봉 자급제 삽니다 | 아이폰17프로 512 실버 갤럭시s26울트라 1테라 교환해보아요
다이슨,540,검토 필요,다이슨,다이슨 에어랩 | 다이슨 드라이기 슈퍼소닉 HD15 | 다이슨 슈퍼소닉 HD15 골드/골드 코퍼 새상품 동봉품 개봉안함
맥세이프,523,token_exclude_list 후보,"아이폰 16, 아이폰 17, 아이폰 17 프로, 아이폰 15, 갤럭시 s25, 갤럭시 s26, 아이폰 17 프로 맥스, 갤럭시 s26 울트라",갤럭시 s25 울트라 맥세이프 케이스 | 갤럭시S25울트라 슈피겐 맥세이프 케이스판매합니다 | 갤럭시S25울트라 슈피겐 나노팝맥핏 맥세이프 케이스 판매합니다
부산중고폰,489,검토 필요,"갤럭시 s25, 갤럭시 s26, 갤럭시 s25 플러스, 갤럭시 s25 울트라, 애플워치, 갤럭시 s26 울트라, 아이폰 16, 아이폰 15",A급. 갤럭시S25플러스 256기가 부산중고폰 69671 대전 서울 경기 | A급. 갤럭시S25플러스 256기가 부산중고폰 69675 대전 서울 경기
ps5,480,검토 필요,"플스5, 닌텐도 스위치",구매) 닌텐도 닌텐도스위치 oled 스위치2 3ds 2ds ps5 플스5 | 매입] 닌텐도 닌텐도스위치 oled 스위치2 3ds 2ds ps5 플스5 | 매입] 닌텐도 닌텐도스위치 oled 플스5 스위치2 3ds 2ds ps5
중고폰,455,검토 필요,"갤럭시 s25, 갤럭시 s26, 갤럭시 s25 플러스, 아이폰 16, 갤럭시 s25 울트라, 아이폰 15, 갤럭시 s26 울트라, 아이폰 17",S급 갤럭시S25울트라 256 블랙 중고폰 공기계 s25ultra | S급 갤럭시S25울트라 512 블랙 중고폰 공기계 s25ultra | SS급 갤럭시S25울트라 512 화이트 중고폰 공기계 s25ultra
삼성,451,product_token_dictionary brand 후보,"갤럭시 s25, 갤럭시 s26, 갤럭시워치, 갤럭시 s26 울트라, 갤럭시 s25 울트라, 갤럭시 s25 플러스, 아이패드, 맥북",삼성 갤럭시 S25 울트라 512 | 삼성 정품 갤럭시 S25울트라 스탠딩 그립 케이스 블랙 | (구매) 갤럭시s25 울트라 삼성 정품 스탠딩 그립 케이스 화이트 구매
에어,450,product_token_dictionary detail 후보,"아이패드, 맥북, 아이폰 17, 아이폰 16, 아이폰 17 프로, 아이폰 17 프로 맥스, 에어팟 프로, 애플워치","아이폰17 에어 <<갤럭시 s25나 엣지로 교환원합니다 | 아이폰 에어 블랙 -> 아이폰17일반 , 아이폰16프로 교환하실분? | 아이폰 에어 블랙 -> 아이폰16프로 교환하실분"
아이폰16,434,검토 필요,"아이폰 16, 아이폰 17, 아이폰 17 프로, 갤럭시 s25, 아이폰 17 프로 맥스, 아이폰 15, 갤럭시 s26",[아이폰16/새상품/전색상입고] | [공구모집]아이폰16 미사용 정품 선착 한정특가 판매 | [애플기획전]아이폰16/16플러스 일반 미사용제품 선착30명 특가판매
512기가,419,product_token_dictionary spec 후보,"갤럭시 s25, 갤럭시 s25 울트라, 갤럭시 s26, 갤럭시 s25 플러스, 아이폰 17, 갤럭시 s26 울트라, 아이폰 16, 아이폰 15","[미개봉]갤럭시S25/S25플러스/S25울트라 신제품특가 512기가 보유 | [프로상점,대여] 갤럭시 s25울트라 512기가 | 갤럭시S25울트라 512기가 화이트실버 (S급) / 0502"
15,409,product_token_dictionary model 후보,"아이폰 15, 아이폰 16, 아이폰 17, 아이폰 17 프로, 맥북, 아이폰 17 프로 맥스, 아이폰 17e, 다이슨","[미사용/새상품] 아이폰17프로 재고정리 할인 [13,14,15,16] | [미사용/새상품] 아이폰17 재고정리 할인 [13,14,15,16,프로] | [미사용/새상품] 아이폰16 재고정리 할인 [13,14,15,17,프로]"
512,406,검토 필요,"갤럭시 s25, 갤럭시 s26, 갤럭시 s26 울트라, 아이폰 17, 맥북, 아이폰 17 프로, 갤럭시 s25 울트라, 아이폰 17 프로 맥스",갤럭시 S25 울트라 512 자급제 제트블랙 삼케플X | 삼성 갤럭시 S25 울트라 512 | S급 갤럭시S25울트라 512 블랙 중고폰 공기계 s25ultra
아이폰16프로,404,검토 필요,"아이폰 16, 아이폰 17 프로, 아이폰 17, 아이폰 17 프로 맥스",아이폰16프로 케이스티파이 임팩트 맥세이프 케이스 | 아이폰16프로 256기가 97% | [프로 할인]아이폰16프로[새상품/미개봉/정품]
당일발송,403,검토 필요,"갤럭시 s25, 갤럭시 s26, 갤럭시 s25 울트라, 아이폰 16, 갤럭시 s25 플러스, 갤럭시 s26 울트라, 에어팟 프로, 아이폰 17",[00866] 당일발송 갤럭시S25울트라 S938 512GB 무잔상 블랙
그레이,398,검토 필요,"갤럭시 s25, 갤럭시 s26, 아이패드, 갤럭시 s25 울트라, 아이폰 16, 갤럭시 s25 플러스, 갤럭시 s26 울트라, 맥북",갤럭시s25울트라 256gb 판매합니다(티타늄 그레이) | 삼성 갤럭시 S25 울트라 카인드 수트 케이스 그레이 | 갤럭시 S25 울트라 256GB 그레이 [75161]
프로맥스,395,검토 필요,"아이폰 17 프로 맥스, 아이폰 17 프로, 아이폰 17, 아이폰 16, 아이폰 15, 에어팟 프로, 갤럭시 s26",아이폰17 프로맥스 갤럭시 S26 폴드7 플립7 탭 미개봉자급제사요 | 아이폰 16 프로맥스 정품 케이스 (미개봉) | 무쪼 아이폰16 프로맥스 맥세이프 카드 케이스
16gb,390,product_token_dictionary spec 후보,"아이폰 16, 맥북, 아이폰 17, 아이폰 17e, 아이패드, 갤럭시 s26 울트라, 갤럭시 s26, 갤럭시 s25 울트라",갤럭시 S25 울트라 16GB 1TB 자급제 | 갤럭시s25 울트라 1TB 16GB 제트블랟 | 갤럭시 s26울트라 1tb + 16gb 실버
맥스,384,product_token_dictionary detail 후보,"아이폰 17, 아이폰 17 프로 맥스, 아이폰 17 프로, 아이폰 16, 아이폰 15, 맥북, 아이폰 17e, 로보락",갤럭시S26 울트라 플립7 폴드7 아이폰17프로 맥스 미개봉 삽니다 | 아이폰17프로 맥스 마린 갤럭시S26 울트라 플립7 미개봉 자급제 삽니다 | 아이폰17 16프로 맥스 갤럭시 S26 울트라 폴드7 울트라 자급제사요
17프로,374,검토 필요,"아이폰 17 프로, 아이폰 17, 아이폰 17 프로 맥스, 아이폰 16, 아이폰 17e, 갤럭시 s26 울트라, 갤럭시 s26, 갤럭시 s25","갤럭시s26울트라 512기가 자급제 17프로,17프맥 교신 | [미사용/새상품]아이폰16플러스 재고정리 할인[13,14,15,17프로] | 아이폰 16프로 -> 17 17프로 교환"
공기계,371,검토 필요,"갤럭시 s25, 갤럭시 s26, 아이폰 16, 아이폰 17, 갤럭시 s25 울트라, 갤럭시 s25 플러스, 아이폰 15, 갤럭시 s26 울트라",S급 갤럭시S25울트라 256 블랙 중고폰 공기계 s25ultra | S급 갤럭시S25울트라 512 블랙 중고폰 공기계 s25ultra | SS급 갤럭시S25울트라 512 화이트 중고폰 공기계 s25ultra
512g,361,product_token_dictionary spec 후보,"갤럭시 s25, 갤럭시 s26, 갤럭시 s25 울트라, 갤럭시 s26 울트라, 갤럭시 s25 플러스, 맥북, 아이폰 17, 아이패드",갤럭시s25울트라 512g 실버 판매합니다 | 갤럭시S25울트라 512G 자급제 미개봉 새제품 판매합니다. | S급) 갤럭시S25울트라 512G 블루  60960
미사용,356,검토 필요,"아이폰 16, 아이폰 17, 갤럭시 s25, 갤럭시 s26, 아이폰 17 프로, 애플워치, 아이패드, 플스5","[미사용/새상품]갤럭시S25울트라 재고정리 할인[23,24,26,플립7] | 특가 갤럭시S25울트라 미사용 선착순 한정판매 플립/폴드/23/24/26 | 특가 갤럭시S25 미사용 선착순 한정판매 울트라/플립/23/24/26"
갤럭시s25울트라,351,검토 필요,"갤럭시 s25 울트라, 갤럭시 s25, 갤럭시 s26 울트라, 갤럭시 s26, 갤럭시 s25 플러스",갤럭시S25울트라/삼성전자/새상품/풀박스/미개봉/정품 | 갤럭시S25울트라/삼성전자/정품/미개봉/풀박스/새상품 | 갤럭시S25/갤럭시S25플러스/갤럭시S25울트라 미개봉 시리즈
13,351,product_token_dictionary model 후보,"아이패드, 맥북, 아이폰 16, 아이폰 17, 아이폰 17 프로, 아이폰 17 프로 맥스, 아이폰 15, 아이폰 17e","[미사용/새상품] 아이폰17프로 재고정리 할인 [13,14,15,16] | [미사용/새상품] 아이폰17 재고정리 할인 [13,14,15,16,프로] | [미사용/새상품] 아이폰16 재고정리 할인 [13,14,15,17,프로]"
128gb,342,product_token_dictionary spec 후보,"아이패드, 아이폰 16, 아이폰 15, 애플워치, 갤럭시 s25, 아이폰 17, 맥북, 갤럭시 s26","[특가할인/배터리100%] 아이폰6 16GB~128GB 스페이스그레이 | [배터리100%]아이폰6 16,32,128GB (3color) | [국내당일발송] 아이폰6S 16G 32GB 64GB 128GB"
1tb,341,product_token_dictionary spec 후보,"맥북, 갤럭시 s26, 갤럭시 s26 울트라, 갤럭시 s25 울트라, 갤럭시 s25, 아이패드, 아이폰 17 프로, 아이폰 17","갤럭시s25 울트라 1tb 12g 자급제 화이트실버 케이스, 필름 | 갤럭시S25울트라 1Tb 16Ram 제트블랙(1테라) | 갤럭시 S25 울트라 제트블랙 1TB"
프로2,336,검토 필요,"에어팟 프로, 아이패드, 애플워치, 아이폰 16, 맥북","칸예 에어팟 프로2 케이스 새상품 (선착 1명아이폰 16프로 케이스 | [풀박스] 아이패드 프로2 10.5 셀룰러+스마트폴리오 키보드 세트 | 듀이 아이패드 프로2,3,4 11인치 도트 핑크 땡땡이 케이스"
갤럭시s23,324,검토 필요,"갤럭시 s25, 갤럭시 s26, 갤럭시 s25 플러스, 갤럭시 s26 울트라, 갤럭시 s25 울트라","갤럭시S23,S24,S25 대량 소량 판매합니다 | 리퍼급 갤럭시s23 256GB 그린 완전깨끗 중고폰 | [리퍼급]갤럭시S23 최상급컨디션 256G 라벤더 공기계 중고폰"
m4,322,검토 필요,"아이패드, 맥북, 에어팟 프로, 애플워치",아이패드 에어 m4 11인치 미개봉(wifi/128g) | 애플 아이패드 프로 13 M4 Wi-Fi 1 TB+매직키보드 세트 | 아이패드 에어 11 M4 128GB 스타라이트 풀박스 S급
블루,317,검토 필요,"갤럭시 s25, 갤럭시 s26, 아이폰 15, 아이폰 17, 아이패드, 아이폰 17 프로, 갤럭시 s25 울트라, 갤럭시 s25 플러스",갤럭시s25울트라 256기가 블루 S급 | SS급 갤럭시S25울트라 256 블루 중고폰 공기계 s25ultra | S급) 갤럭시S25울트라 512G 블루  60960
wifi,317,검토 필요,"아이패드, 갤럭시워치, 애플워치, 갤럭시 s25",S급 갤럭시탭S2 32G WIFI/LTE (SM-T815) | (미개봉) 아이패드 미니 7 128g wifi 스그 | 아이패드 에어 m4 11인치 미개봉(wifi/128g)
2세대,313,검토 필요,"에어팟 프로, 아이패드, 애플워치, 로보락, 맥북","iPad Pro 12.9 6세대(매직키보드+펜슬 2세대,여분 팁) | 아이패드 에어4 64GB WIFI 애플펜슬 2세대 | 아이패드 에어5 스타라이트+애플펜슬 2세대+ 강화유리 여분"
본체,304,검토 필요,"에어팟 프로, 닌텐도 스위치, 다이슨, 애플워치, 아이패드, 플스5, 맥북, 갤럭시워치","이패드 1세대(64GB) 본체 | 아이패드 10세대 64GB Wi-Fi 실버 본체 박스 케이스 상태좋음 | 애플 맥프로(Mac Pro) 본체, 정품 케이블"
40mm,297,검토 필요,"애플워치, 갤럭시워치, 다이슨",풀구성 액정무기스 애플워치 se2 40mm | [새상품급 선물용] 애플워치 SE2 40mm 실버 급처합니다!+사은품증정 | 애플워치 40mm 스트랩 + 케이스 양도합니다 (위시코어)
갤럭시s26울트라,293,검토 필요,"갤럭시 s26 울트라, 갤럭시 s26, 갤럭시 s25, 아이폰 17 프로, 아이폰 17, 애플워치","[미개봉,정품,삼성케어]갤럭시s26/갤럭시s26플러스/갤럭시s26울트라 | [미사용/새상품]갤럭시S26울트라 재고정리 할인[23,24,25,플립7] | 자급제) 갤럭시S26울트라 512g 블루 미개봉새상품"
셀룰러,293,검토 필요,"아이패드, 애플워치, 갤럭시워치, 맥북, 에어팟 프로, 갤럭시 s25",갤럭시 탭s2 셀룰러 (T815) 32G 블랙 팝니다. | 아이패드프로 12.9 6세대 1테라 WIFI+셀룰러 판매요 | 아이패드 프로 m4 11인치 셀룰러 블랙 풀박 새거 + 애플펜슬 +풀리오
